127.0.0.1 - - [21/Jun/2017:03:07:15 +0530] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/Index HTTP/1.1" 200 48083
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/animate.css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/components-font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/et-line-font/et-line-font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/flexslider/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/magnific-popup/dist/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/lib/simple-text-rotator/simpletextrotator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/css/colors/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/css/model.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/shop/product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/shop/product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/shop/product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/shop/product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/shop/product-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/shop/product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/client-logo-dark-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/client-logo-dark-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/client-logo-dark-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/client-logo-dark-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/rp-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/client-logo-dark-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:26 +0530] "GET /MyWebApp/assets/images/rp-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:27 +0530] "GET /MyWebApp/assets/lib/jquery/dist/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:03:07:27 +0530] "GET /MyWebApp/assets/lib/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
